Tweet,Sentiment
Regtech: FCA Opens Survey to Regulated Firms to Better Understand Costs of Reporting |Crowdfund Insider #service https://t.co/65nJaLwh7W,neutral
"15 #Fintech Maps Showcasing the State of Fintech in #Asia: https://t.co/v1aSSjQaHk via @fintechSIN

#Blockchain https://t.co/kQyf7PwuJc",neutral
#SFTR is increasingly critical for firms as the 2020 deadline moves closer; good that @Broadridge is trying to help https://t.co/xtnlkw4mmJ,neutral
"Using spreadsheets to track your compliance efforts can put your bank, #fintech, #MSB, or FI at risk. Instead, tran https://t.co/kyRkvnq2i6",neutral
How regtech is giving compliance a competitive advantage https://t.co/dnj6qkUCwy #mobielonly,neutral
@sbcfintechcyber is coming to Hamburg July 4th to scout the best #startups &amp; #scaleups in #CorporateBanking &amp; https://t.co/SM3mjKy7hv,positive
"In our guide, ""How Compliance Teams Can Transition Away From Spreadsheets,"" learn why spreadsheets pose a danger to https://t.co/jXHS1VDZ2r",neutral
#Fintech Used To Be A Local Game. Today It Can Be Global https://t.co/u9yCZL8OdO  #Finance #Payments #Mortgage https://t.co/QkFT1qc32E,neutral
Chicago #RegTech enthusiasts! Come meet like-minded people interested in applying technological innovation to the w https://t.co/ReKBsEKRog,neutral
Coming soon... https://t.co/7umXgdfaF6 #RegTechDirectory #RegTech,neutral
"#regtech wants to improve behavior monitoring w/ #AI #fintech #insurtech via @MikeQuindazzi

#finserv
 https://t.co/78wOzoN9Sc",neutral
"#regtech solutions for #DigitalAssets  @RegInnovate @GinoWirthensohn: #AML #KYC #fintech via @UrsBolt

#finserv
 https://t.co/XKgBmKtyrA",neutral
"This week we start a conversation about FinTech and RegTech and, in an abbreviation heavy episode, we talk about fa https://t.co/uEKh25jK5v",neutral
"This week we start a conversation about FinTech and RegTech and, in an abbreviation heavy episode, we talk about fa https://t.co/6WvEhwP84N",neutral
@emjobe huge potentials in these industries. #RegTech should be adopted quickly to Make it Happen https://t.co/8mtNBzY47M,neutral
"Charting Your Course Through the #TPRM Forest
https://t.co/bZi4ROds7Y

.
#riskmanagement #supplierrisk https://t.co/qK0pgZ1KhU",neutral
How comprehensive is your PEP Database listing ? Follow link for details. #dataasset #pep #Policallyexposedperson https://t.co/tA5W4xkMpp,neutral
New post: Microsoft and Ethereum Foundation Swell the Hyperledger Ranks Amid Growing Cross-Industry Blockchain Coll https://t.co/9ZB7ZGapF6,neutral
The latest #FinTech #RegTech #RoboAdvisory &amp; #DigitalBank News! https://t.co/zMwgBF1pgF Thanks to @Dammysamuel97 https://t.co/7j8U6f3Y35,neutral
"Call Centers Get Smarter  Thanks To AI https://t.co/wpffawSiLF #call #callcenters #space #regtech, #FinTech",neutral
How APAC #Fintechs and Banks Can Get #eKYC Right (@jumio) #identityverification #regtech #authentication https://t.co/mswtPoK2aI,neutral
New Report from TNS:Consumers Confirm Smart Payments Adoption https://t.co/m0XNdKxtk7 #FinOps #RegTech #FinTech,neutral
"Starting a new business and not sure where to #incorporate?
Here's an overview: Top 10 most complex #jurisdictions https://t.co/gotem3X4BV",neutral
"With over 700 senior risk, compliance and investment attendees, the Refinitiv Australian Regulatory Summit is a maj https://t.co/UZP1vvT0PC",neutral
How to Spring Clean Your Digital Clutter to Protect Yourself https://t.co/0gz3WAkOuI #clutter #data #delete #regtechblackbook #regtech,neutral
"5 Top Trends in #Cybersecurity #Regulation
https://t.co/AVzm7Cm76v

.
#infosec #datasec #corpgov #gdpr #edatap #cio https://t.co/UyhN6O2vXs",neutral
"Your #KYC procedure done in minutes, instead of days. Check out @Blanco_fintech and lets turn your regulatory requ https://t.co/UndDfbIw57",neutral
How would a cloud-based treasury management system work? https://t.co/zUqt08LGlD #CFO #regtech #fintech #finserv https://t.co/CcYGQgropp,neutral
"What every #Blockchain or Digital Platform needs to solve for Mass Adoption 

#VC #fintech #banking #finserv https://t.co/dzvWJnvNjX",neutral
