,text,weekday,month,day,hour,has_hashtag,has_url,fav_count,is_reply,retweet_count,followers,following,user,screen_name
0,"RT @EVILJOHNSAVAGE: Google is an evil Monster.
Machine Learning Fairness AI is learning everything about you.

TO manipulate and enslave yo…",Tue,Jun,25,02,0,0,0,0,10,667,615,Catherine Deviney⭐️⭐️⭐️,cat_deviney
1,"""Unifying machine learning and quantum chemistry -- a deep neural network for molecular wavefunctions"" (arXiv) https://t.co/Rx2LxJbvcH",Tue,Jun,25,02,0,1,0,0,0,1601,2633,y-fullmoon,hf_and_beyond
2,"RT @LilaGraceRose: This is an incredibly important report from an insider at @google &amp; @Project_Veritas. 

Google is actively but secretly…",Tue,Jun,25,02,0,0,0,0,1234,449,155,VintageDesigns,JoAnneVintage
3,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,02,0,0,0,0,2439,107,292,try4bliss,try4bliss
4,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,02,0,0,0,0,2439,1437,1420,Hart,BalancedHart
5,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,02,0,0,0,0,2439,1092,96,ENDURE 1776 🇺🇸,ENDURE_1776
6,"Bayesian Learning for Machine Learning: Introduction to Bayesian Learning (Part 1)
#AI #BigData #MachineLearning… https://t.co/RNEcJr839T",Tue,Jun,25,02,1,1,0,0,0,133818,82892,"Lillian Pierson, PE",BigDataGal
7,Top #openedu story: Becoming a machine learning company means investing in foundational technologies - O'Reilly Med… https://t.co/pgKGXQ2dJ6,Tue,Jun,25,02,1,1,0,0,0,1196,378,Fabrice Leclerc,leclercfl
8,"On Thursday, Ebay announced it was rolling out 10 new personalization tools that use AI and machine learning to imp… https://t.co/xbGUo3st25",Tue,Jun,25,02,0,1,0,0,0,843,14,Modern Retail,modernretail
9,"RT @JamesOKeefeIII: LEAKED Documents Highlight ""Machine Learning Fairness"" and Google’s Practices to Make Search Results ""fair and equitabl…",Tue,Jun,25,01,0,0,0,0,722,901,863,Linda W,linw0918
